评论,评分,分词
外形外观酒红色很洋气很漂亮屏幕音效作为千元机屏幕效果已经不错了拍照效果拍照功能很强不输其他品牌待机时间还不知道感觉还可以其他特色整体手感还是不错的作为千元机该有的配置基本都有了运行速度目前看起来还是不错的作为备用机很好京东的配送也是比较快,3,外形 外观 酒 红色 洋气 很漂亮 屏幕 音效 千元 机 屏幕 效果 已经 不错 拍照 效果 拍照 功能 很强 不输 品牌 待机时间 知道 感觉 特色 整体 手感 不错 千元 机该 配置 基本 运行 速度 目前 看起来 不错 备用机 京东 配送 比较 快 
手机非常漂亮买给妈妈用的很适合妈妈用屏幕够大字体很清晰而且外观不错用起来也不卡机妈妈很喜欢就是不清楚电量能用多久得以后追加评论还有拍照功能很不错照片很清晰最主要的是价格实惠运行速度行速度挺快的屏幕音效大且清晰,3,手机 非常 漂亮 买 妈妈 适合 妈妈 屏幕 够 大字体 清晰 外观 不错 起来 卡机 妈妈 喜欢 清楚 电量 多久 以后 追加 评论 拍照 功能 不错 照片 清晰 主要 价格 实惠 运行 速度 行 速度 挺快 屏幕 音效 大且 清晰 
商品收到咯特别喜欢一收到京东的快递就迫不及待地打开了给家里人买的家人也很满意这次购物体验不错京东物流很给力奥利给外形外观的外观很精美很喜欢给力拍照效果拍照很清晰画面柔美喜欢其他特色性价比特别高价格便宜实惠待机时间待机时间很给力充一次电能用很久喜欢,3,商品 收到 咯 特别 喜欢 收到 京东 快递 迫不及待 打开 家里人 买 家人 满意 购物 体验 不错 京东 物流 力 奥利 外形 外观 外观 精美 喜欢 给力 拍照 效果 拍照 清晰 画面 柔美 喜欢 特色 性价比 特别 高 价格便宜 实惠 待机时间 待机时间 力充 一次 电能 久 喜欢 
外形外观非常满意屏幕音效非常好拍照效果很好运行速度非常快昨天下单今天就到了待机时间还不知道用了再来评价其他特色只是我要红的发了蓝色其他都很好很满意的一次购物下次还会来的,3,外形 外观 非常 满意 屏幕 音效 非常 拍照 效果 运行 速度 非常 快 昨天 下单 今天 待机时间 知道 评价 特色 我要 红 发 蓝色 满意 一次 购物 下次 还会来 
外形外观大爱了这个手感非常好蓝色大海的颜色也非常的好看可以的很满意后置指纹挺好的屏幕音效声音非常的大听的非常清楚屏幕色彩也非常鲜艳跟几千的效果看不出来运行速度的运行内存平时用完全足够了拍照效果拍的照片非常清晰大赞待机时间目前还没有标准试一下挺长的,3,外形 外观 大爱 手感 非常 蓝色 大海 颜色 非常 好看 满意 后置 指纹 挺 屏幕 音效 声音 非常 听 非常 清楚 屏幕 色彩 非常 鲜艳 几千 效果 看不出来 运行 速度 运行 内存 平时 完全 足够 拍照 效果 拍 照片 非常 清晰 大赞 待机时间 目前 没有 标准 试一下 挺长 
蓝色的外观很好看看起来特别美观屏幕音效屏幕素质也可以对得起这个价格拍照效果拍照很快也拍的很清晰特别满意,3,蓝色 外观 好看 看起来 特别 美观 屏幕 音效 屏幕 素质 对得起 价格 拍照 效果 拍照 很快 拍 清晰 特别 满意 
快递超快不到一天就到了网购最快的一次手机吗比预想的要好质量很棒主打续航的系列这部觉得很惊艳了意料之外的是用软件检测居然带陀螺仪官网参数上没写不知道什么情况要说缺点就是的屏幕不过比料想的要好用起来完全没问题你要是用惯了的用这个会有点不适应是真的待机时间很长完全不用担心,3,快递 超快 不到 一天 网购 最快 一次 手机 预想 质量 很棒 主打 续航 系列 这部 觉得 惊艳 意料之外 软件 检测 居然 带 陀螺仪 官网 参数 没 写 知道 情况 要说 缺点 屏幕 料想 起来 完全 没 问题 用惯 会 有点 适应 真的 待机时间 很长 完全 不用 担心 
的这款机器果然没让我失望手机性价比超高了颜值也在线处理器虽然不是特别好的处理器但是日常用的话已经足够足够用了用起来没有明显的卡顿另外拍照也很不错马上就的换机潮了现在买个备用机这款机器绝对够实用支持一下,3,这款 机器 没 失望 手机 性价比 超高 颜值 在线 处理器 特别 处理器 日常 已经 足够 足够 起来 没有 明显 卡顿 拍照 不错 马上 换机 潮 现在 买个 备用机 款 机器 绝对 够 实用 支持 一下 
如果这台机子京东做促销太合算了我不知道是京东自己做促销还是的力度这么大性价比很高很值得购买建议大家购买哦很合算哦机子整体性能是非常好了解析度很高配置也很高屏幕清晰度很好触感也很好电池容量非常大很耐用非常非常值得入手,3,这台 机子 京东 做 促销 太 合算 知道 京东 做 促销 力度 性价比 高 值得 购买 建议 购买 合算 机子 整体 性能 非常 解析度 高 配置 高 屏幕 清晰度 触感 电池容量 非常 耐用 非常 非常 值得 入手 
屏幕很清晰人脸识别速度非常快指纹结束也非常快声音非常大充电非常快尽量也非常禁用打游戏打一天完全没问题打游戏还很流畅非常喜欢这个颜色目前非常舒服而且前置摄像头美颜很好看我喜欢品牌手机外观做的非常好音质好照相清楚系统流畅最大的特点就是电池容量大使用起来方便不用常充电这次搞活动下单非常的优惠欢迎朋友们一起来下单,3,屏幕 清晰 人脸识别 速度 非常 快 指纹 结束 非常 快 声音 非常 充电 非常 快 尽量 非常 禁用 打游戏 一天 完全 没 问题 打游戏 流畅 非常 喜欢 颜色 目前 非常 舒服 前置 摄像头 美颜 好看 喜欢 品牌手机 外观 做 非常 音质 照相 清楚 系统 流畅 最大 特点 电池容量 使用 起来 方便 不用 常 充电 搞 活动 下单 非常 优惠 欢迎 朋友 起来 下单 
外形外观外观没有瑕疵拿起来比较有手感屏幕音效屏幕清晰大屏幕音效不错也比较清晰拍照效果真是多功能拍照人物景象远景全景各种各样的拍照功能大大满足了少女心运行速度运行比较快前一个手机也是这个内存不卡内存够大很好用待机时间刚拿到的新机待机时间一天半后续待机时间有待考证其他特色物流速度快第二天就收到了手机反应快内存大个摄像头比以前的手机拍照更加清晰了比较满意屏幕够大退出键是往上滑比较新颖其他一般功能都有也有些新增的没有研究太仔细适合就好还送了手机软壳赞,3,外形 外观 外观 没有 瑕疵 起来 比较 手感 屏幕 音效 屏幕 清晰 大屏幕 音效 不错 比较 清晰 拍照 效果 真是 多功能 拍照 人物 景象 远景 全景 各种各样 拍照 功能 大大 满足 少女 心 运行 速度 运行 比较 快前 一个 手机 内存 不卡 内存 够 待机时间 刚 拿到 新机 待机时间 一天 半 后续 待机时间 有待 考证 特色 物流 速度 快 第二天 收到 手机 反应 快 内存 摄像头 以前 手机 拍照 更加 清晰 比较满意 屏幕 够 退出键 滑 比较 新颖 功能 新增 没有 研究 太 仔细 适合 送 手机 软壳 赞 
外形外观很酷运行速度目前很快待机时间新手机吧目前待机时间很长屏幕音效用完全不成问题拍照效果清晰其他特色重点是性价比非常高作为千元机而且还是千元以内的手机挑不出比它还合适的手机当然请别用几千块钱的手机和它比,3,外形 外观 很酷 运行 速度 目前 很快 待机时间 新手机 目前 待机时间 很长 屏幕 音效 完全 不成问题 拍照 效果 清晰 特色 重点 性价比 非常 高 千元 机 千元 以内 手机 挑不出 合适 手机 请别 几千块 钱 手机 
外形外观外形尺寸非常大颜色也非常艳丽总体来说是性价比非常高运行速度运行速度总体也不错就这个价位玩王者荣耀还不太卡待机时间待机时间也可以的总体来说还是不错的拍照效果前后摄像头都非常好尺寸屏幕也非常大拍照很清晰颜色非常清晰,3,外形 外观 外形尺寸 非常 颜色 非常 艳丽 总体 性价比 非常 高 运行 速度 运行 速度 总体 不错 价位 玩 王者 荣耀 太卡 待机时间 待机时间 总体 不错 拍照 效果 摄像头 非常 尺寸 屏幕 非常 拍照 清晰 颜色 非常 清晰 
外形外观机型相当好看美美滴屏幕音效音效很棒特别好拍照效果拍的爸妈美美滴非常满意运行速度程序运行很好很流畅待机时间能待机一两天非常棒其他特色整体非常满意下次还会买,3,外形 外观 机型 相当 好看 美美 滴 屏幕 音效 音效 很棒 特别 拍照 效果 拍 爸妈 美美 滴 非常 满意 运行 速度 程序运行 流畅 待机时间 待机 一两天 非常 棒 特色 整体 非常 满意 下次 还会 买 
待机时间毫安的大电池待机续航特别好很适合老人用运行速度运行速度相对于百元机来说不错划屏打开应用速度都挺快的外形外观外观还可以去水滴屏后置三摄拍照效果拍照还凑合,3,待机时间 毫安 电池 待机 续航 特别 适合 老人 运行 速度 运行 速度 相对 百元 机 错划 屏 打开 应用 速度 挺快 外形 外观 外观 水滴 屏 后置 三摄 拍照 效果 拍照 凑合 
使用了许久才来评的给妈妈买的她一个多岁的老人家用起来很顺手方便满意这就够了手机真不错很值得,3,使用 许久 来评 妈妈 买 一个 多岁 老人家 起来 顺手 方便 满意 够 手机 真不错 值得 
手机非常漂亮蓝色很大气很好看运行也特别流畅是的老粉丝了自己一直用这次是买来送给爸爸的也给他换一个智能机用一下第一次在京东上买手机真的还挺不错活动下来价格也很划算外形外观非常完美流畅大气屏幕音效屏幕很清晰音效也很好拍照效果拍照效果还可以运行速度运行速度挺不错只要不玩大游戏完全是够用了待机时间电池真的太耐用了买回来剩的电连续玩了一下午听了个多小时歌第二天还撑到了晚上点才用完,3,手机 非常 漂亮 蓝色 很大 气 好看 运行 特别 流畅 老 粉丝 一直 买来 送给 爸爸 换 一个 智能机 一下 第一次 京东 买手机 真的 挺不错 活动 下来 价格 划算 外形 外观 非常 完美 流畅 大气 屏幕 音效 屏幕 清晰 音效 拍照 效果 拍照 效果 运行 速度 运行 速度 挺不错 不玩大 游戏 完全 够用 待机时间 电池 真的 太 耐用 买回来 剩 电 连续 玩 下午 听 小时 歌 第二天 撑 晚上 点 完 
运行速度运行速度快端庄大气一点都不卡待机时间长毫安时大电池老年人用至天充一次电拍照效果好我同事看了又给他对象买了个京东物流很快我是下午点二十下单明天上午点就到了总之给我的印象是挺不错的因为我之前用的是别的牌子手机祝手机厂家越做越好,3,运行 速度 运行 速度 快 端庄 大气 一点 不卡 待机时间 长 毫安 时大 电池 老年人 天充 一次 电 拍照 效果 同事 对象 买 京东 物流 很快 下午 点 二十 下单 明天 上午 点 印象 挺不错 之前 牌子 手机 祝 手机 厂家 越做越 
的这款简直是神机啊性价比超高平时用的话完全够用了如果不打大游戏的话而且外观也还行虽然没有很惊艳但是总归是好看的另外手机的音质也很试了一下拍照哈哈哈果然名不虚传拍照效果也很好高通的处理器用起来一点也不虚,3,这款 简直 神机 性价比 超高 平时 完全 够用 打大 游戏 外观 还行 没有 惊艳 总归 好看 手机 音质 很试 一下 拍照 哈哈哈 名不虚传 拍照 效果 高通 处理器 起来 一点 虚 
手机外形好看拍照效果很棒玩游戏不卡顿屏幕很清晰听歌音效很立体听起来很舒服运行速度很快内存大电池容量大待机时间长包装盒很高档妹妹很喜欢她很开心哇太棒了赞哈哈哈哈客服也很不错哦服务态度很好,3,手机 外形 好看 拍照 效果 很棒 玩游戏 不卡顿 屏幕 清晰 听歌 音效 立体 听 起来 舒服 运行 速度 很快 内存 电池容量 待机时间 长 包装盒 高档 妹妹 喜欢 开心 太棒了 赞 哈哈哈哈 客服 不错 服务态度 
外形外观水滴屏很好看很时尚很喜欢很实用黑色很稳中屏幕音效屏占比很高屏幕大玩游戏看电视很好很开心拍照效果拍照有自带的相机美颜效果很好我不经常用也没什么太大要求运行速度运行很流畅系统优化很好用起来也很方便偶尔打个游戏也没问题,3,外形 外观 水滴 屏 好看 时尚 喜欢 实用 黑色 稳中 屏幕 音效 屏 占 高 屏幕 玩游戏 看电视 开心 拍照 效果 拍照 自带 相机 美颜 效果 经常 没什么 太 要求 运行 速度 运行 流畅 系统优化 起来 方便 偶尔 打个 游戏 没 问题 
我第一次用手机系统上手比较容易使用方便手机屏幕非常清晰完全没有颗粒感反应灵敏电池待机时间很长非常好的手机,3,第一次 手机 系统 手 比较 容易 使用方便 手机 屏幕 非常 清晰 完全 没有 颗粒感 反应 灵敏 电池 待机时间 很长 非常 手机 
这个手机性价比超高的哇几百块钱的机子居然还能同时有人脸识别和指纹识别反应很快字体也很大屏幕很大电量也很耐用手机外观很漂亮对着老人来说不玩游戏的够用了物流也很快三天就到了客服很耐心有问必答很满意的一次购物,3,手机 性价比 超高 几百块 钱 机子 居然 人脸识别 指纹识别 反应 很快 字体 很大 屏幕 很大 电量 耐用 手机 外观 很漂亮 老人 玩游戏 够用 物流 很快 三天 客服 耐心 有问必答 满意 一次 购物 
外形外观很新潮屏幕音效非常好拍照效果很清晰运行速度很快待机时间很长其他特色物美价廉用起来顺手方便高大上的感觉,3,外形 外观 新潮 屏幕 音效 非常 拍照 效果 清晰 运行 速度 很快 待机时间 很长 特色 物美价廉 起来 顺手 方便 高大 感觉 
毫不犹豫的去手了这款新品千元拍照智能手机大电池正品学生用好用的简直没谁了非常可以的是他们刚刚出来久的新品刚刚购入不久拍照效果自带美颜拍照清晰显示效果屏幕亮度和色彩效果很满意电池续航一天绝对够用充电速度很快涡轮闪充真的好运行速度系统运行速度快不卡顿游戏震感真的好通信音质通话音质很好顺丰送货一流的真的很不错,3,毫不犹豫 手 这款 新品 千元 拍照 智能手机 电池 正品 学生 简直 没 非常 刚刚 久 新品 刚刚 购入 不久 拍照 效果 自带 美颜 拍照 清晰 显示 效果 屏幕 亮度 色彩 效果 满意 电池 续航 一天 绝对 够用 充电 速度 很快 涡轮 闪充 真的 运行 速度 系统 运行 速度 快 不卡顿 游戏 震感 真的 通信 音质 通话音质 顺丰 送货 一流 真的 不错 
外形外观手机外形特别高大上唯一的不足就是是有点厚屏幕音效屏幕很声音大而且超级清晰音质很棒拍照效果拍照效果还可以运行速度买的是的相对来说很待机时间刚刚买来也没咋用超级省电其他特色手机很漂亮一点都看不出来是七百多的手机买来给爸爸用起来完全没问题,3,外形 外观 手机 外形 特别 高大 唯一 不足 有点 厚 屏幕 音效 屏幕 声音 超级 清晰 音质 很棒 拍照 效果 拍照 效果 运行 速度 买 相对来说 待机时间 刚刚 买来 没 超级 省 电 特色 手机 很漂亮 一点 看不出来 七百多 手机 买来 爸爸 起来 完全 没 问题 
嘿嘿加几张新图,3,加 几张 新 图 
宝贝已收到包装完好物流快买给母亲的礼物双十一整点买的送了耳机很喜欢打开包装还没有来及去调时间浏览速度快不卡顿随手试拍了下超清晰妈妈喜爱拍照拍视频这下换去旧的手机跟上时代节奏哦多拍做留念不错哦感觉很满意祝生意兴隆,3,宝贝 收到 包装 完好 物流 快 买 母亲 礼物 双十 整点 买 送 耳机 喜欢 打开 包装 没有 调 时间 浏览 速度 快 不卡顿 随手 试拍 下超 清晰 妈妈 喜爱 拍照 拍 视频 这下 换 旧 手机 跟上 时代 节奏 拍 做 留念 不错 感觉 满意 祝 生意兴隆 
外形外观非常漂亮的深湖蓝屏幕音效很好够响亮拍照效果够清晰操作简单运行速度流畅没卡过待机时间家里老人用不怎么经常使用可以放个几天手机功能强大买来试了一下还不错买回来给家里老人用长辈很喜欢这个价格值了颜值高这湖蓝色超漂亮的挺好的字体大屏幕大,3,外形 外观 非常 漂亮 深 湖蓝 屏幕 音效 好够 响亮 拍照 效果 够 清晰 操作 简单 运行 速度 流畅 没卡过 待机时间 家里 老人 不怎么 经常 使用 放个 几天 手机 功能强大 买来 试 一下 不错 买回来 家里 老人 长辈 喜欢 价格 值 颜值 高 这湖 蓝色 超 漂亮 挺 字体 大屏幕 
物流真的非常快第二天就收到了手机美观屏幕大而且清晰拍照好看手机不卡客服态度好打游戏不卡下载吃鸡王者荣耀飞车个同时下载非常快刷视频很快都不卡活动的时候买的价格也实惠这次购物非常满意,3,物流 真的 非常 快 第二天 收到 手机 美观 屏幕 清晰 拍照 好看 手机 不卡 客服 态度 打游戏 不卡 下载 吃 鸡 王者 荣耀 飞车 下载 非常 快刷 视频 很快 不卡 活动 买 价格 实惠 购物 非常 满意 
东西不错性价比很好手机后玻璃做工很好整体手感流畅性一流,3,东西 不错 性价比 手机 玻璃 做工 整体 手感 流畅性 一流 
这部手机最吸引我的就是屏幕了边框超级窄的全面屏非常大看起视频来视野很广玩游戏也非常流畅还没有出现卡顿的情况拍照也还好照片很清晰毕竟是不足千元的手机这样的像素算可以了没太多要求对电池是非常满意这样大的电池还是第一次用再加上不怎么玩游戏手机续航真的可以两天一充完全没问题这个价格来说性价比已经很高了不错的一次购物体验,3,部手机 吸引 屏幕 边框 超级 窄 全面 屏 非常 大看 视频 视野 很广 玩游戏 非常 流畅 没有 出现 卡顿 情况 拍照 还好 照片 清晰 毕竟 不足 千元 手机 像素 算 没太多 要求 电池 非常 满意 电池 第一次 加上 不怎么 玩游戏 手机 续航 真的 两天 一充 完全 没 问题 价格 性价比 已经 高 不错 一次 购物 体验 
物流很快手机收到手机外观好看漂亮手机运行速度快手机拍照成相很清晰电池五千毫安非常耐用充电也很快非常满意的一次购物给好评,3,物流 很快 手机 收到 手机 外观 好看 漂亮 手机 运行 速度 快 手机 拍照 成相 清晰 电池 五千 毫安 非常 耐用 充电 很快 非常 满意 一次 购物 好评 
外形外观外观漂亮颜色好看屏幕音效声音清楚调节方便拍照效果照片拍摄效果清晰运行速度运行速度还可以待机时间待机时间长新机基本上一天充电一次非常适合给家里老人使用字体可以设置大码看不懂智能界面的还可以将界面设置成简单基础模式简洁大方互传方便换手机和资料备份当天下单隔天就到货了,3,外形 外观 外观 漂亮 颜色 好看 屏幕 音效 声音 清楚 调节 方便 拍照 效果 照片 拍摄 效果 清晰 运行 速度 运行 速度 待机时间 待机时间 长 新机 基本上 一天 充电 一次 非常适合 家里 老人 使用 字体 设置 大码 看不懂 智能 界面 界面 设置 成 简单 基础 模式 简洁 大方 互传 方便 换 手机 资料 备份 当天 下单 隔天 到货 
外形外观直板的舒服的手感屏幕音效屏幕很大适合老人家价格真的实惠很不错的运行速度还行老人家用的没大多都要求,3,外形 外观 直板 舒服 手感 屏幕 音效 屏幕 很大 适合 老人家 价格 真的 实惠 不错 运行 速度 行 老人家 没 大多 要求 
给老爸买的比原来的手机好用多了用了优惠券才元买到骁龙瓦快充毫安时大电池目前来说也只有了这个手机的性价比在元以内绝对排第一无敌小米荣耀完全被碾压使用起来续航真的很强而且在没电之后充电万快充上也很及时骁龙平时玩起游戏来也没什么挑剔的王者荣耀满帧运行吃鸡也不卡水滴屏的外观在时下的审美已经是无可挑剔了手机系统不得不夸赞现在的手机系统越来越好用而且图标也比较好看总的来说是一次很不错的购物体验京东物流也无可挑剔第二天就到了很快必须好评,3,老爸 买 原来 手机 好用 优惠券 元 买 骁龙瓦 快充 毫安 时大 电池 目前 手机 性价比 元 以内 绝对 排 第一 无敌 小米 荣耀 完全 碾压 使用 起来 续航 真的 很强 没电 之后 充电 万快 充上 及时 骁龙 平时 玩 游戏 没什么 挑剔 王者 荣耀 满帧 运行 吃 鸡 不卡 水滴 屏 外观 时 审美 已经 无可挑剔 手机 系统 不得不 夸赞 现在 手机 系统 越来越 好用 图标 比较 好看 一次 不错 购物 体验 京东 物流 无可挑剔 第二天 很快 必须 好评 
手机不错很棒用了好几天来评价的性价比很高一直喜欢用的手机电池很经用屏幕分辨率什么都都很棒放心购买吧这手机蓄电强声音大拍照很清晰关键服务好很适合老人家用需要的小伙伴快来买吧不错不错快买吧,3,手机 不错 很棒 几天 评价 性价比 高 一直 喜欢 手机电池 经用 屏幕 分辨率 很棒 放心 购买 手机 蓄电 强 声音 拍照 清晰 关键 服务 适合 老人家 需要 小伙伴 快来 买 不错 不错 快 买 
手机用着挺流畅的不卡蓝色的也大气这价格很便宜了性价比高拍照效果也不错晚上拍出来的也清楚玩游戏玩了一下午电量用了三分之一左右耗电量满意还是买大内存的不然不够用当备用机有点奢侈了,3,手机 挺 流畅 不卡 蓝色 大气 价格 便宜 性价比 高 拍照 效果 不错 晚上 拍 清楚 玩游戏 玩 下午 电量 三分之一 左右 耗电量 满意 买大 内存 不够 用当 备用机 有点 奢侈 
外形外观蓝色还挺好看的有渐变效果看起来还可以屏幕音效水滴屏中规中矩还可以拍照效果自拍很不错运行速度基本是不会有任何问题打打王者打打吃鸡还可以(吃鸡别指望特效全开了哈性能还只是中规中矩而已)待机时间特别省电好用不过到手还没有深度体验其他特色店铺服务非常好还送耳机,3,外形 外观 蓝色 挺 好看 渐变 效果 看起来 屏幕 音效 水滴 屏 中规中矩 拍照 效果 自拍 不错 运行 速度 基本 不会 问题 打打 王者 打打 吃 鸡 ( 吃 鸡别 指望 特效 全开 性能 中规中矩 ) 待机时间 特别 省电好 到手 没有 深度 体验 特色 店铺 服务 非常 送 耳机 
非常好看适合女士用屏幕音效音质超棒屏幕清晰运行速度速度超快拍照效果照片清晰真实感比较好,3,非常 好看 适合 女士 屏幕 音效 音质 超棒 屏幕 清晰 运行 速度 速度 超快 拍照 效果 照片 清晰 真实感 比较 
外观漂亮屏幕清晰拍照效果也不错物有所值运行速度也很好待机时间需要继续等待验证,3,外观 漂亮 屏幕 清晰 拍照 效果 不错 物有所值 运行 速度 待机时间 需要 继续 等待 验证 
外形外观高端大气上档次十分喜欢的品牌值得信赖屏幕音效十分喜欢的一直相信京东商城手机这是第三个了拍照效果十分喜欢的清晰一些效果不错运行速度媳妇喜欢运行速度快不卡待机时间时间有好处其他特色价廉物美货真价实,3,外形 外观 高端 大气 上档次 十分 喜欢 品牌 值得 信赖 屏幕 音效 十分 喜欢 一直 相信 京东 商城 手机 这是 第三个 拍照 效果 十分 喜欢 清晰 效果 不错 运行 速度 媳妇 喜欢 运行 速度 快不卡 待机时间 时间 好处 特色 价廉物美 货真价实 
手机特别棒这次做活动的时候所购买的价格十分优惠手机的运行速度很快使用起来十分流畅外观也十分美观大气拿在手中十分上档次手机的屏幕音效也很好拍照效果也特别强拍的照片十分清晰十分满意的一次购物,3,手机 特别 棒 做 活动 购买 价格 十分 优惠 手机 运行 速度 很快 使用 起来 十分 流畅 外观 十分 美观 大气 手中 十分 上档次 手机 屏幕 音效 拍照 效果 特别 强拍 照片 十分 清晰 十分满意 一次 购物 
一直都在用手机前天下单的昨天中午可到了京东物流真的神速呀拿到手里感觉是真值呀自己先试玩了半天首先说一下这个机型蛮好看的手感也不错最主要的速度也没有出现卡的现象像素也挺高电池容量挺大哈打开手机有百分之四十的电玩游戏两小时才显示低电量才冲电的特意看了冲电闪充的很满意手机界面图标比较大不容易误触界面简洁常见功能一目了然一触即达操作非常简单便捷拍照画面清晰特别是开启超广角之后拍照视野扩大了很多出去玩要拍合照直接拍就行不用跑来跑去的找合适位置画面细节保留的很好放大看能看清楚每一张脸下次买手机就直接买了,3,一直 手机 前 天下 单 昨天中午 可到 京东 物流 真的 神速 拿到 手里 感觉 真值 先 试玩 半天 说 一下 机型 蛮 好看 手感 不错 主要 速度 没有 出现 卡 现象 像素 挺 高 电池容量 挺大哈 打开 手机 百分之四十 电玩 游戏 两 小时 显示 低电量 冲电 特意 电闪 充 满意 手机 界面 图标 比较 容易 误触 界面 简洁 常见 功能 一目了然 一触 达 操作 非常简单 便捷 拍照 画面 清晰 特别 开启 超广角 之后 拍照 视野 扩大 很多 出去玩 拍 合照 直接 拍 行 不用 跑来跑去 找 合适 位置 画面 细节 保留 放大 看能 看清楚 一张 脸 下次 买手机 直接 买 
外观大方好看双买的没货几天才收到货手感还可以送了保险套一套就能用了一千块内的机子非常值得去买运行还可以不玩游戏内存够了,3,外观 大方 好看 双买 没货 几天 收到 货 手感 送 保险套 一套 一千块 机子 非常 值得 买 运行 玩游戏 内存 够 
此款手机外观靓丽时尚屏幕很大音量足三个摄像头拍照效果很强很不错之前买过一个用起来很不错待机时间超长一一整天都不用充电手机用起来不卡顿很棒的看到活动又购置了一个真的不错推荐购买此款价位买到这样的手机很值得了真心的推荐购买了很不错很不错的,3,此款 手机 外观 靓丽 时尚 屏幕 很大 音量 足 三个 摄像头 拍照 效果 很强 不错 之前 买过 一个 起来 不错 待机时间 超长 一整天 不用 充电 手机 起来 不卡顿 很棒 看到 活动 购置 一个 真的 不错 推荐 购买 此款 价位 买 手机 值得 真心 推荐 购买 不错 不错 
外形外观外观很好看挺新颖的喜欢屏幕音效屏幕很亮分辨率很高音质也不错拍照效果像素也可以的给父母用完全没问题运行速度运行速度是给老人用没问题待机时间待机时间比较久毫安的电量很耐用其他特色外观很好看屏幕也很亮看的清晰物流速度也很快挺满意,3,外形 外观 外观 好看 挺 新颖 喜欢 屏幕 音效 屏幕 亮 分辨率 高音质 不错 拍照 效果 像素 父母 完全 没 问题 运行 速度 运行 速度 老人 没 问题 待机时间 待机时间 比较 久 毫安 电量 耐用 特色 外观 好看 屏幕 很亮 清晰 物流 速度 很快 挺 满意 
买给长辈的新手机各方面还挺满意的生产日期就是这个月的真的算是新鲜出炉的双卡双待还带一个扩展卡卡槽非常人性化了电池高通骁龙处理器带人脸识别和后置指纹识别有三个摄像头价格又这么有诚意配置总的也不错还满足了长辈要求不要买太贵可以说是对的选择这次总共买了三台个人感觉是千元机里面目前的最优选择以上推荐给大家,3,买 长辈 新手机 方面 挺 满意 生产日期 月 真的 算是 新鲜出炉 双卡 双待 带 一个 扩展 卡卡 槽 非常 人性化 电池 高通 骁龙 处理器 带 人脸识别 后置 指纹识别 三个 摄像头 价格 诚意 配置 总 不错 满足 长辈 要求 不要 买 太贵 说 选择 总共 买 三台 个人感觉 千元 机 里面 目前 最优 选择 推荐 
外形外观外观很不错颜色很好看厚度也还是可以的屏幕音效显示清晰颜色亮丽亮度足够户外阳光下看也很清楚拍照效果拍照效果挺清晰的颜色也挺好看的拍风景很合适运行速度系统优化非常不错处理器也还可以毕竟千元机待机时间大电池加上优化很不错非常给力,3,外形 外观 外观 不错 颜色 好看 厚度 屏幕 音效 显示 清晰 颜色 亮丽 亮度 足够 户外 阳光 清楚 拍照 效果 拍照 效果 挺 清晰 颜色 挺 好看 拍 风景 合适 运行 速度 系统优化 非常 不错 处理器 毕竟 千元 机 待机时间 电池 加上 优化 不错 非常 给力 
外形外观外观中规中矩毫安电池机身厚度能控制在毫米左右能接受屏幕音效屏幕没有明显的颗粒感几百块的手机不能要求像旗舰机一样的显示效果拍照效果后置三颗摄像头超广角镜头很给力运行速度新一代骁龙处理器完全能满足日常生活处理运行速度很快待机时间续航很给力毫安电池重度使用一天半轻度使用能维持天续航,3,外形 外观 外观 中规中矩 毫安 电池 机身 厚度 控制 毫米 左右 接受 屏幕 音效 屏幕 没有 明显 颗粒感 几百块 手机 不能 要求 旗舰机 显示 效果 拍照 效果 后置 三颗 摄像头 超 广角镜头 力 运行 速度 新一代 骁龙 处理器 完全 满足 日常生活 处理 运行 速度 很快 待机时间 续航 力 毫安 电池 重度 使用 一天 半 轻度 使用 维持 天 续航 
外形外观很漂亮不错屏幕音效清晰不错其他特色拿着舒服适合老人使用待机时间待机时间长好运行速度运行速度可以值这个价钱,3,外形 外观 很漂亮 不错 屏幕 音效 清晰 不错 特色 舒服 适合 老人 使用 待机时间 待机时间 长好 运行 速度 运行 速度 值 价钱 
外观很好看反应速度也超快待机时间也很长可用两三天屏幕请晰度也可以千元以下手还算可以了总体感觉良好发京东物流也很快当天下单次日就送到了一次开心的购物,3,外观 好看 反应速度 超快 待机时间 很长 可用 两三天 屏幕 请晰度 千元 以下 手 算 总体 感觉良好 发 京东 物流 很快 当天 下单 次日 送到 一次 开心 购物 
商品做工精细物流超级快昨晚下单今天收货如果商家能补发一耳机就完美,3,商品 做工 精细 物流 超级 快 昨晚 下单 今天 收货 商家 补发 耳机 完美 
给老爸买的手机比实体店便宜很多老爸很喜欢外观也正合适老爸用运行速度待机时间拍照效果都非常不错我也经常在这买东西每次都很满意足不出户就能买到自己想要的东西真是太方便了有需要还会再来,3,老爸 买 手机 实体店 便宜 很多 老爸 喜欢 外观 正合适 老爸 运行 速度 待机时间 拍照 效果 非常 不错 经常 买 东西 每次 满意 足不出户 买 想要 东西 真是太 方便 需要 还会 
现在的中低端机做的真心不错我近几年一直在用华为系列的但是老妈用不惯华为的就说让给她买个便宜点的手机刚拿到手就真的感觉很不错这个价位能买到这样的手机真心不错了,3,现在 中低端 机做 真心 不错 近几年 一直 华为 系列 老妈 用不惯 华为 说 让给 买个 便宜 点 手机 刚 拿到 手 真的 感觉 不错 价位 买 手机 真心 不错 
